,precision,recall,f1-score,support
Apple,0.918918918918919,0.9153846153846154,0.9171483622350675,260.0
Banana,0.9759615384615384,0.9902439024390244,0.9830508474576272,205.0
Cucumber,0.953416149068323,0.9274924471299094,0.9402756508422665,331.0
Grape,0.9771784232365145,0.991578947368421,0.9843260188087775,475.0
Mango,0.63125,0.9619047619047619,0.7622641509433963,105.0
Orange,0.9614325068870524,0.9914772727272727,0.9762237762237762,352.0
Pear,0.9299610894941635,0.8722627737226277,0.9001883239171374,274.0
Tomato,0.9781021897810219,0.8297213622291022,0.897822445561139,323.0
accuracy,0.9359139784946237,0.9359139784946237,0.9359139784946237,0.9359139784946237
macro avg,0.9157776019809416,0.9350082603632168,0.9201624469986485,2325.0
weighted avg,0.9437304812590998,0.9359139784946237,0.9372416572138751,2325.0
